IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.221.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,3.86
47.243.91.58,2082,2082,false,HKG,Asia Pacific,Hong Kong,24,1.80
8.218.8.142,2052,2052,false,HKG,Asia Pacific,Hong Kong,18,1.78
47.76.225.255,2096,2096,true,HKG,Asia Pacific,Hong Kong,22,1.68
47.238.0.114,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,1.59
47.243.60.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,31,1.57
8.218.204.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,1.54
47.243.173.187,2096,0,true,HKG,Asia Pacific,Hong Kong,28,1.51
8.218.53.110,2083,2083,true,HKG,Asia Pacific,Hong Kong,34,1.49
8.210.21.65,8443,0,true,HKG,Asia Pacific,Hong Kong,40,1.34
8.210.9.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,22,1.33
47.76.203.101,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,1.27
47.243.107.148,2082,2082,false,HKG,Asia Pacific,Hong Kong,31,1.26
8.218.81.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,46,1.12
47.76.33.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,29,1.11
8.218.228.152,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,1.10
8.218.65.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,1.07
8.210.42.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,1.01
47.242.7.162,2083,2083,true,HKG,Asia Pacific,Hong Kong,24,1.00
8.218.3.12,2096,0,true,HKG,Asia Pacific,Hong Kong,47,0.99
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,20,0.96
47.242.157.96,2082,2082,false,HKG,Asia Pacific,Hong Kong,33,0.95
8.210.21.65,8080,8080,false,HKG,Asia Pacific,Hong Kong,33,0.95
8.210.3.24,80,80,false,HKG,Asia Pacific,Hong Kong,44,0.94
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,0.92
8.217.145.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,26,0.91
47.242.79.71,8880,8880,false,HKG,Asia Pacific,Hong Kong,44,0.91
47.76.214.139,2087,2087,true,HKG,Asia Pacific,Hong Kong,33,0.91
8.217.147.230,2052,2052,false,HKG,Asia Pacific,Hong Kong,29,0.91
8.210.34.188,2095,2095,false,HKG,Asia Pacific,Hong Kong,25,0.91
